"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"REDNI/POSEBNI PREVOZ";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki";"Tone"
"2015M04";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";56569;329.272
"2015M05";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";65617;474.739
"2015M05";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";62453;325.294
"2015M06";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";74148;513.993
"2015M06";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";75143;344.446
"2015M07";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";87036;506.628
"2015M07";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";84409;373.846
"2015M08";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";88235;471.210
"2015M08";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";91355;338.760
"2015M09";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";78767;514.159
"2015M09";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";78253;412.300
"2015M10";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";62521;508.493
"2015M10";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";65432;394.032
"2015M11";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";46310;501.087
"2015M11";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";47490;355.761
"2015M12";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";41120;519.795
"2015M12";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";39154;422.617
"2016M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";35311;431.486
"2016M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";38183;317.191
